signature_hash,block_time_utc,r_component_hex
5gGNVc7QdALEnuKSs8r19ZWmjTWroadZWzmnhDanA4CEdbKHqJof3puVPej9EnGYhe1eELjkcuyNNTcKPD4wCsY8,1970-01-01 07:00:00,e9edbbd92ce49b058cc5bb596155ee2698115f35a401373f6df4152a598698a9
mEt6gdRjSkuzxLBEW3WGjKV5udAALhESfSPKfcVWTqEHym7xZt5SCNJuoe5Zyh5dnudgB1tv7kHGx45VZKuWRjQ,1970-01-01 07:00:00,26267b29efe4de3b943ff33b31944dfa3624e728fbc7ce020ce26eaf39a0caa6
4dUwZ4JKS3oqE8DkXoChkZB6grgLEts5bVJDQzpzJkVuSupNSxcQJQru1txN4GRDwZ5HRd61FgZwQMProjWay2sc,1970-01-01 07:00:00,b582eee30dea11c3c8add4c3ead2051404bf62a1772e4ced281a5a3098740913
JpQ8eULbxyszFw8k9VwbmNkmbhpL7ewQmCBRqKEUgCD9hi9LvZbWGkZTkx9WFQ4KVePZBfiDPPpGQhV2Qt8o5Cs,1970-01-01 07:00:00,0f5d69c5080faef40865b571940d23e236f0559194ef0dc5f686c5cb501dcc1f
4ZQ2TGvGXEMvE5ZBR8i9cg33oJE6TAMj2X4eQ3gkVW3DApinyKC9UfWS17d29DMoKTrchiqkMosUywP8sd4CS2Bh,1970-01-01 07:00:00,b1fd2a2138a222518a9fc3b70b1ccfd4a96c34b5b9b8433121c3ed54cff8e192
48DsXbsvLbiowsRARiesFomgNCnBdTYrL8PxjmtYeTwSipPbhkktNieu7WxhxG2WxEDWRXvtBaUMqBqwfxEDyYKz,1970-01-01 07:00:00,9c47661dfbff580a08e4e326d6e6d1256374741b0b4a07af7391de7657376704
38jBxr3tcxJNwdZwqzXuDtVEWm35Rtxd7AwFdNkq2TdXyCxSzXFjUmuUWoXRdN2xpEmLDveGo8Zztf8LmcPygjmQ,1970-01-01 07:00:00,6ab2a3b4a44d2fa3b361eafb59d859b3fd97c44390e1b2b8e07a1b7a32716c18
oP3ihQW6RzKDgZ5Xr3zAx9LW48nrUMkAdtAemYmojmsj4CjYJ4sWbTJQF7Uyn8DjNN4qDHDtrzdQZUJA8Um7pML,1970-01-01 07:00:00,27ff179765e369d93d52293dae18d35081abc02a91f9d06d8601df38a56b56cc
Jw38PfFHW1mx1Xy19Ne13v7w9BNnfiBbPPLR8EGZp4sxKxowEnv3Lvya9n8eJKrAkY6BRG6THu9yT5k4EpTwGHS,1970-01-01 07:00:00,0f76adc276e10d8ae9284d2de9cd9b00c6fa8c5cf654573495561ff844604139
3mC5Qsrpzc9ZaqJr6avQNjWceo6WiMeY5TUWFBn5wZV5RFG3BNVJP8yRvwHSKBn7JVvYnfonng8bSan344b6uBHE,1970-01-01 07:00:00,8a248204d1b6436572a657eb02d7e91102311a7e13561ca4ca66ca47704afafe
