tx_hash,timestamp_utc,source_address,destination_address,amount,token_mint_address,transaction_type,timestamp_normalized,source_valid,dest_valid,is_outlier,hour,date,tx_hash_short
4611PVFU2omNvRj2JNY4ifFSP4YUUfuJR65HH5tdtXK8UvmvNJanyq1aZL5vZmiJVNbLgmKnGBCoToGJAv8ZCbLZ,2025-07-20T08:31:29Z,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,0.1587,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-20 08:31:29+00:00,True,True,False,8,2025-07-20,4611PVFU...
45gDb9RXBxvJ1LMJDNnMiJfDwx6po65bSGzaMYWQUawKJshar54ASyDeFr8NKfRT9gMqG4W7sro85N91SLx8ByM6,2025-07-18T00:16:38Z,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,AehiDjcTBGnpEBfrEWgT4PZt7sG2Li8JDguhLNgS2A26,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-18 00:16:38+00:00,True,True,False,0,2025-07-18,45gDb9RX...
4peauvXTzEt98fpWwDj7Q2RNXLzuS9YKKQooSUBstXE6zyvwvD9TTzGQiq6Ezk3TXsoNosNshu8g4KhXrt1Uuu3m,2025-07-17T17:42:57Z,5KDYbU4dqUerTb6ZE2apKgh2XeHAizeKPxKgcbPzhjgF,7SLZkAHJfgPhhfMzcB9NGxFtb24x2zpDWFXGny1Emhqi,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:42:57+00:00,True,True,False,17,2025-07-17,4peauvXT...
4ocEGnU1X6Uj4CHiSRH1vpfVVAaD7jQYmAM1uy69HkJDtejut1sMtWebEnMqXzgsnbD97RpXa9FT53wvMxx4CJGx,2025-07-17T17:42:57Z,8WfcUyN38TKfE5o3taug8UN9VnCqQqLt4uNBJbx9gohp,7SLZkAHJfgPhhfMzcB9NGxFtb24x2zpDWFXGny1Emhqi,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:42:57+00:00,True,True,False,17,2025-07-17,4ocEGnU1...
xftkm6nmXVhBSfGHaPGpLn6fDfTQu1XoM1jryhftmrHj8d4Nz1HKtYXoX4y2X4PFWnB9gG2KUy9s33y791f8FRo,2025-07-17T17:42:57Z,Cpk6qcDprtXKJgyBfJdrXKbXYMkBZdXBzt8w9RWwhKCx,7SLZkAHJfgPhhfMzcB9NGxFtb24x2zpDWFXGny1Emhqi,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:42:57+00:00,True,True,False,17,2025-07-17,xftkm6nm...
2WwAoMx1R55Vc5d4LdnDYSTZYJqiDPbc3iAXeAGNTH34PbqwiRE3Q59gg23mtojsAZc2AS2MNcaee7wnku1rSy41,2025-07-17T17:22:24Z,FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,DcFWkbTYGB3J6cNf1LseR2XCbzyJvVuF2x6MF3kfsYgn,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:24+00:00,True,True,False,17,2025-07-17,2WwAoMx1...
3RTCNktgSbmMQxYjXmmyy5C61cF5yjGCfx7XAbe3Cu2bGZRqE8xRwsdy1Rf3GQfsvifypAVKis2NDia3QqYf9S5Q,2025-07-17T17:22:19Z,FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,DcFWkbTYGB3J6cNf1LseR2XCbzyJvVuF2x6MF3kfsYgn,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:19+00:00,True,True,False,17,2025-07-17,3RTCNktg...
9hE1ZH6tY1pGKEKhqaCsiRz5Kx4EM1K1211kzdTsyGj594Q88pnpLJ384zrPP7Ch1tH6Qi1RKazGHebC45LUDn5,2025-07-17T17:22:16Z,FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,DcFWkbTYGB3J6cNf1LseR2XCbzyJvVuF2x6MF3kfsYgn,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:16+00:00,True,True,False,17,2025-07-17,9hE1ZH6t...
5WpcnVVWpVSQHDv9EDeQyAjboZNgh1ozXaXUGqRXU52ANFonTYwPj34rPp9MQPwiRvZdr6C2ZeUprgrbG4N9UGuE,2025-07-17T17:22:16Z,FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,DcFWkbTYGB3J6cNf1LseR2XCbzyJvVuF2x6MF3kfsYgn,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:16+00:00,True,True,False,17,2025-07-17,5WpcnVVW...
5bo8qnwN4t2xzXadsGhaFjvqJ7U8kXfPnsrMofwmS6D49ox6Xp5pfNricdZmvSrUny7EgL5TfDNWHFCiBz5vE9DJ,2025-07-17T17:22:13Z,FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,DcFWkbTYGB3J6cNf1LseR2XCbzyJvVuF2x6MF3kfsYgn,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:13+00:00,True,True,False,17,2025-07-17,5bo8qnwN...
Ht4q2vdeFcRiRE8TNPEBJE6ebcbtLrZa6ETyfGL3cPQ1fjNcRG3n3u2pyeiEsXqGV6R2419EgzPSidcnJL7eXmB,2025-07-17T17:22:13Z,FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,DcFWkbTYGB3J6cNf1LseR2XCbzyJvVuF2x6MF3kfsYgn,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:13+00:00,True,True,False,17,2025-07-17,Ht4q2vde...
gQKsxC4hZBoZU47b1UFmmQWn3UsigYjZMZJqja572qUdfmq1KfbTMy5WWeJLxG23W5g41twJt9ma3ukkmCvWvZa,2025-07-17T17:22:13Z,FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,DcFWkbTYGB3J6cNf1LseR2XCbzyJvVuF2x6MF3kfsYgn,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:13+00:00,True,True,False,17,2025-07-17,gQKsxC4h...
5htboUwwyC7Ho4ofVC5hwgu9jEWxuDtLwoyACmTuGqvYq8KfXv8vqwE38GhEnDCbMaoBhA7UGyxJX98iScFAhxoF,2025-07-17T17:22:08Z,FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,DcFWkbTYGB3J6cNf1LseR2XCbzyJvVuF2x6MF3kfsYgn,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:08+00:00,True,True,False,17,2025-07-17,5htboUww...
2dpQj7t7P3MrTr1JfLDAYR2vu6gLq5gkc14t2d8ASJQS84qnPGymF7tncYqBxkV1gZS5E5fkczeCp3FRjBWTN7au,2025-07-17T17:22:05Z,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,9MXYd5c9amkhxCiS7P9G52gpj8g4X5YwgD4pKaSXfk9d,0.16,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:22:05+00:00,True,True,False,17,2025-07-17,2dpQj7t7...
5hX5MnGefGci88NVeci1aVcEqjxbtiUoUeQEEDGQPdE7jQetxnm69LyDmhMKxp7cT6wEYxNAmUq4iHrys8fTTETY,2025-07-17T17:01:20Z,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,0.1646,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-17 17:01:20+00:00,True,True,False,17,2025-07-17,5hX5MnGe...
