iteration_id,message_hash_hex,r_component_hex,signing_time_microseconds
43,e15c988cbd776b815847511d15c2349377605fbd2ef6fc3f55db43515f1b028e,b243005be202ff41aae2b3e8fa92e8afe23ff3442c80655c3562a5647f28a50a,214.40000273287296
44,50d7bb1d6ede4bd371dcec605c7e7acc45faa2b1579edf6b34257437f5e738f0,e0e4869d9a8849557babc55c1e16bbf7b20a6d673170d447e174422e2882b99a,227.80000290367752
45,4e06e128d5fe13891e114a916c5c38dd9a792bcb7b23098f8466f7958032d560,ef88faeb7e3894eab6c103c3b3b554a63238894b3195b79f75949ee1b4cbfd54,214.10000044852495
46,49bd87ded558285aa4dc14fd8d04c7ada4dff45d4a2e460a149c3e4e68fa4639,51a6f7e2fa38b328c8fd5c7c035e58a1e612f76e8501cc564557a629959c75f3,215.50000383285806
47,d6a2bba695714501a443616aad7a00c9a1d2cea0df283c04aa85c00b9e8ebfcd,e2e1c136fe9c5bf819c0c8fb7670207246e882392769b3c3e998d74828fb5f01,212.89999858709052
48,955c28d8bd45fe0947a2524fba974473648c811a77766b99b66bca3299932731,0826cdfff70c942d2d1d407c4154a17d2a9a42a2ecc220bf76a665aa94b84258,219.9000009568408
49,7c689869a381667f2303abfb634b13ed52a68ddcfde59e1b2e05dcd3808c41e8,f10b97f518f4015b07831d2b2238d987acca85892bf93957a97f37f3c122f2d1,213.70000467868522
50,d848196554a7de115e4a631755c52caf9e146a0755ab627965c4efc8261201fb,fbfc94ba3e5264574425f0ad9a81c2cc5b94f714f58bc87ea1565c337e452e02,213.30000163288787
51,4f15a6352f0deb5312f069c7801e462f3ccf8ac0bc6618b13b0f069161fcd5ee,f5179b570e304797e0564fef914859d8de86fe890904ed35208660723510d79d,215.00000002561137
52,c191b17592f8d0e0121cfb25443732c83cd8f2e88180fb3bb075e32d90060e48,b1c646e5d751f23bb2f0d51bc366e39bad0925dbefaa5cab796011bfcca74c27,213.1000001099892
53,17d33ca13f0ce5ab5900922923e1dceed2755608a417d58eee26220922885775,f473daaab83ff3d7f8d2815e15138bba926ff159fc14f4f9a862441c6ba67d92,218.90000061830506
54,68c4740c9412a128a2a0b6bf928f86e886a4ffb2aff85aed16fdc831dc5c1261,9db6a1c78400c9f213326f610e2a392e4b70c2ff6fcb4ee6a58af8704f5c66ab,213.1000001099892
55,91f00fbf32bfe089d35827e917ad1e0c2ac445bbbd6f3f0591dcabf69ed141eb,88d00e3a8f1f89912d4c56df60c8a2df805a3aa0d27d93ae736b7a2c37b4d7cf,251.29999994533136
56,8b763163e6970f08595b6c6f4ea3563b7de83f225a3ba5ee5342bc233e678600,8a671fa254396687ddcc70855adf3a4d572b805a8da0abf61d7e3d0818b9f602,217.00000070268288
57,41df23601508b2d7d393df2c11007e5ced6cf4a4a5cc4eddee1a2773869b0a61,9330ffe56b276604b6f2d5e01aa828fc63850829a4d033a36f03a31d43ec9371,216.40000340994447
58,58650e18368de69037e7c22add0bbf9f07bd4b6acb3d1bfaca9fb51b212b9eff,3275aad3f8f558ba415458649357dfad889f835eb78459ce363f1ffeaa37f1f9,214.60000425577164
59,2c8fab4bd873e45b8ab591797aa2cb3881dfabde149a200f2344efecf0aab3c1,25f6940e60c00f0b54ac2963e0bd69eecd1279f1b35049965385a661a57044ab,214.7999985027127
60,0680d3cfdc1cf75299edf678bf16f28d4b391bc5edf54c3443a9b2ebf4fb17cb,defcb86d3897ef342a00fd022306b3d0de93805a26a479b6cb9fae9974c3d152,213.79999816417694
61,9cf6f62241a8d336df0ae6346cc8f336d2ec7ba7696418d0e558d4263520aa56,a9164aaf056418ce84cfb339a13951640c472c471a0c5d345c3c37fd70ce7bc7,390.90000063879415
62,c1f6d698bc744bf370c07f06758bc3dfbad7f425bc6e8c5e448375847b88b5c0,6012c1003af66325d82c925fa8727fdbd6222bbf29538c5fdf4c0addb261bd0a,555.2000002353452
63,6cc399a4929cc30ffbf7049cf8b59bb205e3c3d59c74a28aa3afc22f73f0824c,9bfaf5d1193162fb63eedcdf60e2c52e407b2a8812e5a114618b9dfc9150db2a,262.00000138487667
64,d9dd4ba202d1d934c9d2587921c897c701992637581e27b90482f82cbe74e1ff,2dbca436cd7cf26570f485ffa548355ad6c77722666f5b7ed0b05c1598df4473,260.1000014692545
65,3b1579f83cc1ace03da9dacc2abbf8b067e6dfd17341ad9fc50d74f34cd1d388,fe844c575ec46b58f2f4557e6dbc482b44458608eccc122a619a9954745c332f,226.50000028079376
66,eab46b60c29429cf32ad7d3fa413bbeba27e77d2ade5fc1d75b6db70f64ddcc0,6fece9adcf52c1835712c6581dd7e36b24ebfce67189391a1327c1dd5a0a8e32,213.3999951183796
67,d3b5ffaeee99721aa5344e522cf1be94dd800be80ab490d70fc519907fe5257c,11c22a024f97e4fea8c84320e2791e0228f3b542424c81f6e9fde73cd7c578c4,214.49999621836469
68,eb835270385960db41e222f204c24599391009446143887235c6ea4620609395,7cf3c5528a9fb62ad1b36aed51255290fc264fe20cde32d88cbeb9c0eb69a15f,218.59999833395705
69,3019ab4cd21427b9d4e0a02f72d9f5792068210a2f853d67a558229222fb6dfe,dcdc592e0d83d2e534561347b02050a849b0c4a172b9827430b830836ae18b6e,214.7999985027127
70,6ff355ac1f0aca1c89cdd763672011bc6570df0dc0933d61fafd476b4512bc3a,884b3ee62d04bfa78157e68cba1446372b9d42d596aaa6403157bb81cf36d541,213.79999816417694
71,6dad86b5dc4e689072011419f379cf901339ea8ebcb2e183aa4e49310edda0e4,eab03c87c470200b5b6c60ca6fe4c8965f9e88e7bbdd217e99b9416c669e31d2,212.79999782564119
72,802da23145443fd4c24ee42ad33a97aa5144eb461ee9e5af7b3a4a276b8e496a,e85823264575e3c5d65f8a8fc40ef85b63e05d2f4ea8490396b38fb8fecd5d97,213.30000163288787
73,a38a70c540df01edc084a5c42accf2747fef72a588c8237647838c620171483c,d71bf426e2a8bd08f067d1162ed5dbc3bf0282e259b35d1fd264e4180b281a9d,216.60000493284315
74,0694204b7152a4c627b51a35391df39469608cb7c1b81a865806c83dc8eab237,6d14510a7d3e3f3ec48c2879aad49e364e869d0d54f83c3b822368343dba3f2e,214.89999926416203
75,421293dda83dad554c042c780d0816f472d71d3390611624b885e62414dae27d,854cc1f97796a688a5fd738c6ed9075470a7563230a3557b8284766d6653dca7,213.4000023943372
