signature_hash,block_time_utc,r_component_hex
5nNam5Hg2iLDNwwjeKZTgbwjC5esTEZTPEoAWcP9iDPgScWmgAPZ8kzLnrQvFhESRdwFKbKgRVtMzi1LzQGvLGv2,1970-01-01 07:00:00,ef31f6f0eab30dcb00d2512acbccb369391921928df2850f92902e26e4299df5
61uLDZJkSrLJAYDnoUtKPgDCE4swUzMdhyDoQNVs7vhPUMXpWNNGDVz3mRLBRjoqLiXoCBbFvGyMatYPeUPu3C53,1970-01-01 07:00:00,fadcf22bf39950bdaaffaaf2afe55d5e9b87e0c269dfb19a3927fbe6d2535171
2sFKKLiUs1h1eif9iNko9BFJ4yYEoBtFw1p2WekVQZEELfwuuv3Vb7S5LoxUJMfeWEA65grbLeZjvC12Vx2xJVjT,1970-01-01 07:00:00,5d5913647b0be07debf388d72824a987d46ee6ec93e183b051025a63c160c456
5WX1tDTGTLYyXcc7C2igYunoSB51tQC4GxdCpUgdiXU9WhCQ6PgBfTviVVqooT8kvuPK1dqfZfZAW96SzWFn3gZ,1970-01-01 07:00:00,03e3692cce048852eecf74c023d177c44e3393a220ac70bf742433a5ac708b21
3ADBZCuDJ6jkAPyMXigPWFZNHyTmzNLhPPnqzVKCTSDS2QNqqHb8bcTJGUqh5vou9sM9wMUwP22h5vvWUsjTrovC,1970-01-01 07:00:00,6bf9f4161fd2387a0a6cc91dee050a120ced71d36904abec86ed1b020489cb51
3qBa2QvknCXswRgWH2pahk78nUeGDzomfbjjQFdJNL7EXUu6knWUN4UJEdqXUfQUn8tiRL65ydZy7wDV4jjbspdM,1970-01-01 07:00:00,8d95a35788c2858dfdc383c6ee4ccdd32d1725568ec44a91529bd36770702488
2zd7ZpLqZCnghZEeXzsPge9YHvy5cw881eZzyMZXAuFepD72ok9UnAoXHtmfvU8ZcqcfqQRpvzWHD5U2LWqZrMN9,1970-01-01 07:00:00,63b5654e83fc96b425e17c53333e646d95eda5760b1d28573ec500afaed25c31
5iUuFxMDXkErXYptRUuDCdku2sjNB4K2cqgZmXT4yS9gvVZE24BJYAuSvpg1j4LgvL3HqYyvQmSNH58wwyKcbSWk,1970-01-01 07:00:00,ebd6f521e4d26320e17de3c1ee52a7b9d52a1955381d2865506cff0c4563c003
zu8p1kAyZtBYkHoexViHUFAR82UK4Dw81PC3pTd4yYWtG1RRiVWp2LWGsyxtrE9RtKifCSkhAY8Cv1oSfgd9ZWK,1970-01-01 07:00:00,31ee06c45f7cf9cfcaa0947d69be3fd6b0dfe4253541d1c1d7f8ffb0aee4c494
3DeTe8huqiwhGNkLf8K97ZmawYwzH2kXYsuWJrDYCACxRYB46sknxbsJvss4dP8RN6rvbMEvZJrCtQHFfTvvvPtg,1970-01-01 07:00:00,6ef075d55b7e136e7377c2af584c35ce7526a3301ff9de91266298ce4ad89c12
5aHWPhMAHrnb6CniU8LK3vC9LLs1fFHGQF9Zthw2LBHMYRrHvHPP7GSmULPsMRg66DBbtC9zraP7YSk3ubCD7e8n,1970-01-01 07:00:00,e4c57865290657e9936dd65355a5f99443716ba7c5f89a7a8bf73bf9a52332ac
4HWj6M1BHVbq1KQ5s4xphfU4v5DG3FGQUH8YAYkg2ermB6yp57ZnYeVxJvJDiMhx7Z3gazkZDxFgBJ3X8RRbFdPq,1970-01-01 07:00:00,a44a6f313e0eb6cc48de70f4a133ba19326fe179e0407c54f874d6868e76d8f4
5CwBcw8UdYHcFAWSg9zyiekcJZkjkZktcdiD1gU3HQhD1kJVTBRJ7Y5bTxpJrfmaEkmgtXcygBS2wy2GtzLng45q,1970-01-01 07:00:00,d25c0de6861c28c862afaf16e432d17b840ca7099984afaa2aca60a82801c5af
4N3MPTGD4THc6oCRhzoMX3pYp6HjeDSwApUxwMhsbqsckK2hcbCDZzU3Ww1WaCQtnMtsBwbr5jqG1Q2Byx3cuoKj,1970-01-01 07:00:00,a832104715bbb56afbb1f3262e38b1b36b067d964ca91e516e6c474eb71a792a
57taixNjuuBfMWsZE5QH4VtfZqgWrtrbxveDBjrBfjKESDkzkrX2hyHmcKssxD7xjttX6HgrCvHwFwhCHfAjYe6U,1970-01-01 07:00:00,ce025406a483757247b03ccab5fe27809bec9528db8364107e819a1f490c90d1
5xr6ryr2ZbDbwrGafvMQ3HdveUiCkZHbn8RMsBk3XjFALkCSMFJ8CnrvDn1eaHu6pQk7JNvZ56MpBJ5B8ifmJMZK,1970-01-01 07:00:00,f83a5b4ddefc24637e20a1bf00dfb3accf3f097449440d3456bf487ae87bfd0c
5mqMsrcZfUDaAUtPTF2BpVGHnLs5kvYgeDSq4jYMrMEAQk4AgG1EMAi6JvwNRW6iFsLZceivuey9oRMQYhxCEMGz,1970-01-01 07:00:00,eebb1fcdfa6c855a766f7d0d8e25d8b79d536f3c93b8ec8cf6cc62cf163900c0
5E1RVcHEimVFLU4tBufjGbSgDe34K8nX57DNrjSit8TzNPqfheMJF6BpNGW4Cz4xk3wpDR646YYVaaXJxB5wd83J,1970-01-01 07:00:00,d348f460da1004c8c8449475a695235ed205b28e26aab994891b55302a71eba9
555HgtdDJiAWTU9xuinTev58Yg1u9TA3aczyn9pLe37m9Ge126TotW9atCVUJLbLQtWGjUJgLJbFUL7Vx5bBBtks,1970-01-01 07:00:00,cb94c90e0bc1020f63b197233551b0e5915ef6f309917b927abd4d1d735fa58a
3AcdnxsUJN2hD1YrQR1BaS45RsEfznz6iao7v8HrezTVg5yRMuc5XjUzM8uB6Rjkj5CgcnCGGHKdtvHYVj5QrgBk,1970-01-01 07:00:00,6c53384c25af3188e99aa86ecd12ef33bdf02d7e002cefde2e0818ff29ef8b27
4fFPQ15SWTxzmbMkVj9X9BVzvXQRFmbcEg8Z2fVq7Sm11aGam6zQdd6Hb4zj77uMZztHohHz7yTpYDnqm3V1TJVu,1970-01-01 07:00:00,b708ded9cf77b791c3fcc065bd5f41d3a9c97750bde2fe62ea5aeb3a7279c24d
fVHLMmoAKYGi1hVPAz8Cr5ZS1pU5nyTbsje9j1Hi3jx44cogtpHeWKmAzi3VzmgchMh2xrSvZUazZmEVkEv1mWH,1970-01-01 07:00:00,2130b4b610d466e02999065343f00f50aa53c4df7af2af395b6144bcc8c33ca4
5J4EqXGagcHMvQD6H85FN1USBJPMYWonotS7LXQipDn8UQeGewQp67U8zanoKQeFHVvVD1JhMQaeyuo77yi3gq2t,1970-01-01 07:00:00,d6c6bb9bc26af8fb026b19f450bf95ab14e00dc580c36a8e74650699e4ff6421
5AnDoEnwye4o98GkRen6iLbsee2Www2Lkao91oiF561mzTakbwVnn3gLKzhtmSSS2Z1k5rstQNbsgzNTcHNvtW5Z,1970-01-01 07:00:00,d08069480db573d4798add611a5d018be86a7b96d4079e428b2ea2ef0fcf60a1
3zdKEbpknrojpefejMfUugwoUG9Nwor3em9v2dXV6QkekwzjRR8EVAoLfgx3KDioWaXKvfi2jCKhzQxpQeMTLLVn,1970-01-01 07:00:00,95ba83594769bf945a055b067dec207f7f8ef825d4f18092eb2c457f9af64702
EaAAEqgoJhCYsXifhxuAUFwamfTbFHiuntBx5e4GqPZHCfFoEmCteMGcQ7s6izgFDqZt5oCN5qSwfjECDaNEssz,1970-01-01 07:00:00,0bb42642448b1aeae7c20b18d2c268148c2c2dc528b474bf2f1c658900afa3f8
65YeVN9RWov8QFemQ9yhBt2MzZ8f2NEH2FEDzcbY4LbvtRLrTzK4xPA7xQ5CKeEkHBKX5N7KcZ1oPFJ3w1ZC9bUm,1970-01-01 07:00:00,fe01459608b35ab8c0f14c17e60b5d0bf87336b6b04bc539dbfdb8127ad5abfd
XfyxWWFtwMCoQxcvoBBvyN5aWjUKyQV1axYRQfpmcsjL1vTjg8oV9eM8fRDQry9fFTxLXKRP83nVVWjpbfsrVRW,1970-01-01 07:00:00,1a73513735cf9fd4b20214f55cba5d5dc3c986d9e783b71ca5ff5a9bbfaf33b6
4An4MQjAoqtueZUkmtGj1pznNBYSkkMcyxLSj59x2x8L7PydADa2ySmDn99xGb42hJQhPYXLVc7QAmWsrpXMjKay,1970-01-01 07:00:00,9e7b7097a75d95efbf3d7d53986a62c6ff808025440a6249f26806f930fd45dd
fUS8E8KqpNjxoABigKhDWWX6zmdssUcXoaToCT9mvXTCJs3LgGatzbBhnt2xhww67T2Riyi6puNtNY3K7HMiJRE,1970-01-01 07:00:00,212d79fd2d6b6d228d5f9efad6aaaabd8c03db81d6e3b919daa74f88e42064d6
qHJT4emeQ6rg8NtRQ2BY4rfqNLZHVbw1daLjMb9BPZqefwAaJw3ZTDtUw5VhiJ6WU3xrgayFXCsvA6B5fVtwxjj,1970-01-01 07:00:00,29a2c02007b4cda7c95a6c3bbb170b62934c72487bf22ea2743b53d54d4df85d
3zwvuUYnSeWk2AXsiAuEFgTKnD9q1PuxMiTDTDgxFTp4LWkFt4KTXN2tTVHkQ1uNCaR46iAes4KFEVp8CBTKFroc,1970-01-01 07:00:00,96015dfd00507ca23c9be3debabd1b1d44c950e6b38848de7495969d85928ac7
34Dtv13jUdASxfYcP5USGA1z3iFUU52qNS6T7wNWGRksokFGGAtw1ZtbNAQ1kiQ4jXW6L5gXyQNMhqmWqgF83nVM,1970-01-01 07:00:00,66d0145d501908712dd774081a961ab9e9a39f70aa55a7d063f02e9096acb43d
59yHb2NdG4dTUfSxqFbD3R5piWCTdWzCQg4C2FZDHApipHQuZWGJBLteePTnMmvWPoDUEtgUHUjERTMfXV7WHhdv,1970-01-01 07:00:00,cfcdc3b1026d9f758f4bc209590a458bc9eb18a270b83e4baac41f304525d13e
5mn3T7f43hRhvyn3FY3yHs4sdo7AFAfjuB4CG9y6qSKEFp7sLWHpNCFBb2exSsn9JkevEEAL9H1UpLqBZXT3dNxc,1970-01-01 07:00:00,eeae7f01a2a88f0c02e7583db244e1629f3ef1be017f383b3a126c451baa3068
oAVr4QgnJroBZQxWC85JawnzLEgaEpPfiJtt4Cdi7WEEQwQ9zqGCkg3iUTLNiYGnPGg7akCMPNjXAGJao1o7PvX,1970-01-01 07:00:00,27cf5333f6ba5a86c1998563ffea39426d5dad63117f6d19317d34b573599f0a
